method,n_early,fold,stratum,n_cells,coverage,mean_y_true
Bayesian_LSTM,50,0,mid,9,1.0,407.77777099609375
Bayesian_LSTM,50,0,high,6,1.0,647.1666870117188
Bayesian_LSTM,50,1,low,7,1.0,228.42857360839844
Bayesian_LSTM,50,1,mid,9,1.0,424.3333435058594
Bayesian_LSTM,50,1,high,6,0.6666666666666666,746.6666870117188
Bayesian_LSTM,50,2,low,7,1.0,183.0
Bayesian_LSTM,50,2,mid,8,1.0,473.25
Bayesian_LSTM,50,2,high,7,0.7142857142857143,713.1428833007812
Bayesian_LSTM,50,3,low,7,1.0,220.42857360839844
Bayesian_LSTM,50,3,mid,8,1.0,427.0
Bayesian_LSTM,50,3,high,7,1.0,677.7142944335938
Bayesian_LSTM,50,4,low,7,1.0,207.42857360839844
Bayesian_LSTM,50,4,mid,8,1.0,401.0
Bayesian_LSTM,50,4,high,7,0.42857142857142855,888.5714111328125
Bayesian_LSTM,100,0,low,7,1.0,227.57142639160156
Bayesian_LSTM,100,0,mid,9,1.0,407.77777099609375
Bayesian_LSTM,100,0,high,6,1.0,647.1666870117188
Bayesian_LSTM,100,1,low,7,1.0,228.42857360839844
Bayesian_LSTM,100,1,mid,9,1.0,424.3333435058594
Bayesian_LSTM,100,1,high,6,0.6666666666666666,746.6666870117188
Bayesian_LSTM,100,2,low,7,1.0,280.0
Bayesian_LSTM,100,2,mid,6,1.0,495.6666564941406
Bayesian_LSTM,100,2,high,7,0.7142857142857143,713.1428833007812
Bayesian_LSTM,100,3,low,7,1.0,245.7142791748047
Bayesian_LSTM,100,3,mid,7,1.0,452.5714416503906
Bayesian_LSTM,100,3,high,7,1.0,677.7142944335938
Bayesian_LSTM,100,4,low,7,1.0,207.42857360839844
Bayesian_LSTM,100,4,mid,8,1.0,401.0
Bayesian_LSTM,100,4,high,7,0.42857142857142855,888.5714111328125
Bayesian_LSTM,150,0,low,7,1.0,249.0
Bayesian_LSTM,150,0,mid,8,1.0,427.25
Bayesian_LSTM,150,0,high,6,1.0,647.1666870117188
Bayesian_LSTM,150,1,low,7,1.0,245.42857360839844
Bayesian_LSTM,150,1,mid,8,1.0,445.875
Bayesian_LSTM,150,1,high,6,0.6666666666666666,746.6666870117188
Bayesian_LSTM,150,2,low,6,1.0,302.5
Bayesian_LSTM,150,2,mid,7,1.0,497.28570556640625
Bayesian_LSTM,150,2,high,6,0.6666666666666666,747.5
Bayesian_LSTM,150,3,low,7,1.0,245.7142791748047
Bayesian_LSTM,150,3,mid,7,1.0,452.5714416503906
Bayesian_LSTM,150,3,high,7,1.0,677.7142944335938
Bayesian_LSTM,150,4,low,7,1.0,259.4285583496094
Bayesian_LSTM,150,4,mid,6,1.0,431.5
Bayesian_LSTM,150,4,high,7,0.42857142857142855,888.5714111328125
Gaussian_Process,50,0,low,7,1.0,227.57142639160156
Gaussian_Process,50,0,mid,9,1.0,407.77777099609375
Gaussian_Process,50,0,high,6,1.0,647.1666870117188
Gaussian_Process,50,1,low,7,1.0,228.42857360839844
Gaussian_Process,50,1,mid,9,1.0,424.3333435058594
Gaussian_Process,50,1,high,6,0.6666666666666666,746.6666870117188
Gaussian_Process,50,2,low,7,0.7142857142857143,183.0
Gaussian_Process,50,2,mid,8,1.0,473.25
Gaussian_Process,50,2,high,7,0.8571428571428571,713.1428833007812
Gaussian_Process,50,3,low,7,1.0,220.42857360839844
Gaussian_Process,50,3,mid,8,1.0,427.0
Gaussian_Process,50,3,high,7,1.0,677.7142944335938
Gaussian_Process,50,4,low,7,1.0,207.42857360839844
Gaussian_Process,50,4,mid,8,1.0,401.0
Gaussian_Process,50,4,high,7,0.8571428571428571,888.5714111328125
Gaussian_Process,100,0,low,7,1.0,227.57142639160156
Gaussian_Process,100,0,mid,9,1.0,407.77777099609375
Gaussian_Process,100,0,high,6,1.0,647.1666870117188
Gaussian_Process,100,1,low,7,1.0,228.42857360839844
Gaussian_Process,100,1,mid,9,1.0,424.3333435058594
Gaussian_Process,100,1,high,6,0.6666666666666666,746.6666870117188
Gaussian_Process,100,2,low,7,1.0,280.0
Gaussian_Process,100,2,mid,6,1.0,495.6666564941406
