method,n_early,fold,n_cells,mae,mape_%,rmse,median_ae
CQR_MLP_v2,50,2,22.0,203.22272449840196,94.66419403603578,270.85822290929934,146.68386535644532
CQR_MLP_v2,50,3,22.0,186.33711457685988,44.37661376488405,252.511261035423,148.57704162597656
CQR_MLP_v2,50,4,22.0,231.70861830277875,70.9800926944078,333.1686661195468,204.07793121337892
CQR_MLP_v2,100,0,22.0,131.82631655606357,40.69953566492026,211.12071471468028,69.65399932861328
CQR_MLP_v2,100,1,22.0,154.92763824462887,37.67431515929657,234.01622860272283,101.03166046142579
CQR_MLP_v2,100,2,20.0,416.6035655212402,145.23507609458593,1358.1862350100087,84.23214874267578
CQR_MLP_v2,100,3,21.0,200.77368919735866,35.540283130142505,299.0734670496281,104.22321166992184
CQR_MLP_v2,100,4,22.0,184.1979416587136,54.10588249121254,293.12286475918984,84.62368927001953
CQR_MLP_v2,150,0,21.0,101.01257425944009,19.755893443980554,162.0163695692359,53.29218139648435
CQR_MLP_v2,150,1,21.0,154.72297755650112,30.886770959525318,254.3312029406602,62.07394714355468
CQR_MLP_v2,150,2,19.0,121.02384081388773,22.54018693380716,164.66581688138885,70.10173339843749
CQR_MLP_v2,150,3,21.0,150.7229927698771,31.067446811770164,209.27279587040013,91.5847183227539
CQR_MLP_v2,150,4,20.0,177.11623710632324,32.48932398369986,291.05127501243425,93.66027832031251
CQR_PINN_Knee,50,0,22.0,131.74907247369939,44.654322710368916,181.5611081081026,94.57341842651365
CQR_PINN_Knee,50,1,22.0,146.57947387695313,38.928156988913685,215.51121363227296,89.43041076660157
CQR_PINN_Knee,50,2,22.0,171.79942127574574,88.39742847182099,226.95075051436206,126.00503540039062
CQR_PINN_Knee,50,3,22.0,140.15297518643467,33.96578149135798,194.27613256029403,81.99703216552734
CQR_PINN_Knee,50,4,22.0,237.71754899160425,73.99470476459472,343.0598453262159,217.9099830299616
CQR_PINN_Knee,100,0,22.0,140.5509975086559,50.09984003954712,201.32493445952562,88.50868377685546
CQR_PINN_Knee,100,1,22.0,167.92990930598614,46.83915156045442,235.53509130072533,118.55618591308593
CQR_PINN_Knee,100,2,20.0,165.9810693359375,46.13424435709682,205.20424681902878,153.0948501586914
CQR_PINN_Knee,100,3,21.0,139.4550117129371,30.996426722612764,182.69158323409482,100.1689514160156
CQR_PINN_Knee,100,4,22.0,212.66463706276633,66.90905843477816,325.309860112573,115.65651245117186
CQR_PINN_Knee,150,0,21.0,120.82782345726376,28.396684257799453,153.8110955358297,97.56296081542968
CQR_PINN_Knee,150,1,21.0,153.09342360723585,35.0744839752129,223.9897597807468,97.22571716308596
CQR_PINN_Knee,150,2,19.0,183.8971977685627,42.06734359672098,224.7679894272788,195.0514328956604
CQR_PINN_Knee,150,3,21.0,137.49912598984582,35.384232440575,197.35729799283334,83.47951660156252
CQR_PINN_Knee,150,4,20.0,173.29508178710938,32.580462246170654,292.73681624883994,96.60924835205077
Combined_UQ_PINN_Knee,50,0,22.0,96.92158891504461,31.871855281604187,153.66036869630625,57.226603012085036
Combined_UQ_PINN_Knee,50,1,22.0,131.16412585287384,29.802945726470533,242.0220224068564,56.110270016988125
Combined_UQ_PINN_Knee,50,2,22.0,155.52845417138303,96.347570249601,232.23658844851695,54.92484016418456
Combined_UQ_PINN_Knee,50,3,22.0,149.5972323705572,37.3422275585478,214.11636159026963,68.14269012451169
Combined_UQ_PINN_Knee,50,4,22.0,202.43844702586983,52.398401358925724,334.53213278892946,82.49649424990018
Combined_UQ_PINN_Knee,100,0,22.0,85.15680473067546,30.387753808296495,146.53562571585763,46.60320187886555
Combined_UQ_PINN_Knee,100,1,22.0,126.14699917648774,31.707956366024256,229.38299060700422,56.35855585734052
Combined_UQ_PINN_Knee,100,2,20.0,155.52229747009272,34.85825920621481,206.4972494958099,102.36371981302898
Combined_UQ_PINN_Knee,100,3,21.0,128.0169892186967,22.37601656650184,180.10812757727714,39.982589772542326
Combined_UQ_PINN_Knee,100,4,22.0,195.6454040007158,52.42850955424672,320.55820952699855,86.22738717397058
Combined_UQ_PINN_Knee,150,0,21.0,69.02609421745179,13.53755972983321,108.8540023306739,32.40660349527994
Combined_UQ_PINN_Knee,150,1,21.0,117.52818162948367,23.902897145455977,215.51630170372644,49.4046754964192
Combined_UQ_PINN_Knee,150,2,19.0,110.41059528016208,19.830624177022173,157.26865555107963,64.19581837972004
Combined_UQ_PINN_Knee,150,3,21.0,89.21238557845828,18.337506779151308,125.470694286592,47.82760935465501
Combined_UQ_PINN_Knee,150,4,20.0,170.81425441741945,28.73378706287634,294.2929670693958,76.13596992492677
Deep_Ensemble_PINN_Knee,50,0,22.0,97.04266225641423,32.02136107443536,154.0077900036023,59.723290252685544
Deep_Ensemble_PINN_Knee,50,1,22.0,130.89302139282225,29.756968474754242,241.90052036796502,54.74418563842772
Deep_Ensemble_PINN_Knee,50,2,22.0,156.11652103770862,96.83100795028908,232.69106691830424,55.98902282714843
Deep_Ensemble_PINN_Knee,50,3,22.0,149.39019619985058,37.33824208271131,214.22276551467155,67.4664093017578
Deep_Ensemble_PINN_Knee,50,4,22.0,202.3625781319358,52.56308054026533,333.9823462386752,83.37689170837402
Deep_Ensemble_PINN_Knee,100,0,22.0,85.28415187488903,30.500477624682347,146.32156349868694,46.45002746582031
Deep_Ensemble_PINN_Knee,100,1,22.0,126.04316544966264,31.71040539564819,229.13222446744308,54.0065856933594
Deep_Ensemble_PINN_Knee,100,2,20.0,155.39056678771973,34.96909836762164,205.99182048386734,100.93006591796876
Deep_Ensemble_PINN_Knee,100,3,21.0,127.50511401948476,22.250566200402133,179.85886854469854,41.19250030517577
Deep_Ensemble_PINN_Knee,100,4,22.0,195.59815781333228,52.60403045477736,320.2803740293719,86.05876045227049
Deep_Ensemble_PINN_Knee,150,0,21.0,69.58260505312964,13.67805348343001,109.21924678142784,32.617349243164085
Deep_Ensemble_PINN_Knee,150,1,21.0,118.02720867338637,24.07691976087063,215.49595248477578,51.37884216308595
Deep_Ensemble_PINN_Knee,150,2,19.0,109.98659619783099,19.791013936704566,156.5417873177496,65.2354766845703
Deep_Ensemble_PINN_Knee,150,3,21.0,89.27502143496561,18.345028589537225,125.50365748971336,46.660900878906205
Deep_Ensemble_PINN_Knee,150,4,20.0,171.0444310760498,28.86294149175685,294.12116261512233,75.45682067871095
