n_early,sigma_epistemic,sigma_aleatoric,sigma_total,abs_error,epistemic_ratio
100,69.72822300335686,14.916771698346384,71.30592654966664,356.3609549967448,0.9562378721257334
100,69.4307993987647,15.370223525546807,71.11174077729203,46.51009175618492,0.9532826987500139
100,69.86537601174234,15.93557590399306,71.65970516722817,44.41931671142578,0.9505478141670927
100,93.32731192486408,19.858864576080475,95.41677867844828,123.10027145385743,0.9566829046047397
100,63.76884682146491,15.030096352331665,65.51617831726625,298.8224900309245,0.9473708426132902
100,46.858989017581706,14.866638311669938,49.16077487631634,81.55622812906898,0.9085490730147797
100,76.97978919871282,18.308120843950178,79.12695643025167,110.30845952351888,0.9464648999868283
100,71.53536600697929,13.847962956127619,72.86339731159104,75.6612201944987,0.9638795665845867
100,105.07455324179305,20.91411707588812,107.13571781635832,426.89770660400393,0.961892496150964
100,57.45157167443992,25.574110661375826,62.8865504220386,151.77942942301434,0.8346190299590248
100,19.66097163635836,17.11596716213568,26.067415245493653,231.7132927449544,0.5688712858077757
100,40.297117568122424,20.838970600217777,45.366511657563244,23.976435139973944,0.7890003423013422
100,17.60898151434256,18.635487409624265,25.638986348268965,10.700812021891295,0.47170097384127446
100,20.99058492210263,18.648416286624922,28.07789317899867,368.7094780476888,0.558881902435146
100,35.19943861069112,19.33013857570325,40.157872651121636,170.6554410807292,0.7682986636587542
100,17.16233516116255,16.682536945555295,23.93434325658203,39.982589772542326,0.5141735447642316
100,66.06811795448866,23.65110888670437,70.17386380711108,24.17418769836425,0.8864068257219405
100,26.651050505756068,16.88689091358467,31.5506826833853,202.98525563557945,0.7135282017508258
100,31.113473313778833,20.443244068770397,37.2286777861173,24.020635655721037,0.6984603661736265
100,23.631161127985358,19.006730444346328,30.326351222012313,179.0076131184896,0.6071972584460823
100,18.299565168338013,16.309948573168946,24.51302730814098,21.768559366862007,0.5572982025739885
100,27.132083189877843,20.75820069134476,34.1621549988375,248.08368906656904,0.6307768737383456
100,22.791106626645657,17.462869526256725,28.71212902865612,77.03508015950518,0.6300862928535237
100,15.615975587537402,24.754433571409933,29.268424538944885,11.990212605794284,0.28466859054128163
100,58.7715938604043,19.151502825246872,61.81326965432059,38.560199406941734,0.9040063987474216
100,31.627771711605906,27.987476033284686,42.23286348514795,23.27777303059895,0.5608363234645808
100,33.701184855121795,18.482529711060973,38.436620105822804,168.6666764322917,0.7687762483827669
100,40.27730435318122,19.419294514203884,44.714318125050056,31.828546218872077,0.8113861100513756
100,9.952336497931807,16.63056760403836,19.38104178315902,385.2203945922852,0.2636913400906098
100,33.2198223049099,18.520990036920068,38.03398041117287,36.62678751627607,0.7628709074833265
100,87.10286528182696,28.701302402894285,91.70972631038914,369.3731142807007,0.902057222830802
100,28.862420927999626,19.299170588143323,34.72027256827468,118.90654622395834,0.6910337526410534
100,44.39107005545055,20.77490593369835,49.01187424718559,34.545410410563136,0.8203300235143951
100,43.57396709932301,25.17064386478875,50.3214856829656,23.425117899576833,0.7498032059016919
100,15.688346803712893,17.193390581159534,23.275242321184844,34.36184102376302,0.4543242727448959
100,20.40763910157762,17.61575989763557,26.95898237084229,22.14686126708989,0.5730315596565008
100,41.197582971627774,14.600729236006085,43.70837604998975,301.03151224772137,0.8884114196002106
100,59.05908283707392,19.91721180957995,62.32712565026588,379.48792643229166,0.8978818623377016
100,14.524262990951312,18.497775607207824,23.51854412681471,20.60934275309245,0.3813882773835011
100,24.9064496243233,18.900565004212346,31.265997351234628,309.4042961629232,0.6345693247684245
100,62.51703977995185,18.570772515243533,65.21697520324756,375.32753499348956,0.9189153519637894
100,39.29831421571702,18.939900096252384,43.62427438769897,41.17899607340496,0.8115053904176245
100,31.97712337303166,15.013821615058925,35.326353600434025,307.3367246500651,0.8193720805058344
100,10.981700154937627,17.63669560305299,20.776206826264165,381.6323839314779,0.279387288636538
100,29.26195849505873,22.171301505627067,36.71278830897976,95.64101020812987,0.6352900300222527
100,7.440531078923504,13.534505661472327,15.444880907176106,52.25829630533855,0.23208054858372335
100,31.13175890472442,16.822672646207636,35.38627880214803,132.88227081298828,0.7739938806704203
100,24.46286923648409,20.74681298205274,32.07588222003554,76.81376413981116,0.5816444219014439
100,21.461710602189683,19.419771997367192,28.943610113492547,370.26951599121094,0.5498234644857233
100,15.448354150508239,16.04540072958737,22.2734490039726,35.773939259847,0.48104919260557333
100,24.408053724947127,19.548511232585454,31.271350755130886,0.9619534301757824,0.6092184108592387
100,14.881052161733688,19.449920176209183,24.489693920119702,1164.1155094401042,0.3692330464639253
