n_seeds,n_test,MAE,MedAE,RMSE,mean_sigma,PICP_gauss,MPIW_gauss,NLL_gauss,CRPS_gauss,PICP_conformal,MPIW_conformal,q_hat,method,n_early,fold
10,20,165.9810693359375,153.0948501586914,205.20424681902878,61.43348478438857,0.45,240.8192603548032,1651.0075605201698,141.7376610457518,1.0,1275.5059814453125,637.7529907226562,CQR_PINN_Knee_FLAGSHIP,100,2
10,21,139.4550117129371,100.1689514160156,182.69158323409482,112.4319477743659,0.7142857142857143,440.7332352755144,8.002183325783326,109.89217765461981,1.0,1321.119122314453,660.5595611572265,CQR_PINN_Knee_FLAGSHIP,100,3
10,22,212.66463706276633,115.65651245117186,325.309860112573,67.67630946395212,0.5,265.2911330986924,63.17440186492103,188.23525710190714,0.9545454545454546,1120.5738159179682,560.2869079589843,CQR_PINN_Knee_FLAGSHIP,100,4
10,21,120.82782345726376,97.56296081542968,153.8110955358297,30.75818212268724,0.2857142857142857,120.57207392093395,25.655736961380008,105.8294593254567,1.0,1158.2819335937497,579.140966796875,CQR_PINN_Knee_FLAGSHIP,150,0
10,21,153.09342360723585,97.22571716308596,223.9897597807468,99.25700749278775,0.7142857142857143,389.0874693717281,10.852302607061475,124.38823446532777,0.9047619047619048,819.6704956054687,409.8352478027344,CQR_PINN_Knee_FLAGSHIP,150,1
10,19,183.8971977685627,195.0514328956604,224.7679894272788,76.20089933981579,0.42105263157894735,298.70752541207787,10.405504362829216,148.7426376842058,0.8421052631578947,644.440936279297,322.22046813964846,CQR_PINN_Knee_FLAGSHIP,150,2
10,21,137.49912598984582,83.47951660156252,197.35729799283334,74.41619039840842,0.6666666666666666,291.71146636176104,12805.899845035372,122.63221037484725,0.9523809523809523,1085.1627868652347,542.5813934326172,CQR_PINN_Knee_FLAGSHIP,150,3
10,20,173.29508178710938,96.60924835205077,292.73681624883994,66.01289360472364,0.65,258.7705429305168,114.7802823818375,151.617635152099,0.9,711.0865905761717,355.5432952880859,CQR_PINN_Knee_FLAGSHIP,150,4
10,22,94.46538403284144,40.67720689015391,150.74840331039812,1.0,0.045454545454545456,3.919999999999959,11363.459488850429,93.90628293804416,1.0,1762.5750475996037,881.2875237998021,Gaussian_Process,50,0
10,22,142.64452711450375,79.20362784623526,245.4155426900994,1.0,0.045454545454545456,3.9199999999999773,30115.3132354712,142.10006276568166,0.9090909090909091,863.6732009298489,431.83660046492435,Gaussian_Process,50,1
10,22,180.9077945223757,81.94783370045093,268.85641314091566,1.0,0.045454545454545456,3.919999999999995,36142.80438203257,180.35310522348644,0.8636363636363636,878.4944263529264,439.24721317646333,Gaussian_Process,50,2
10,22,157.59405721390357,86.04004007009348,201.1607932829513,1.0,0.0,3.9199999999999666,20233.751315646336,157.02986763035577,1.0,967.1985903513558,483.59929517567787,Gaussian_Process,50,3
10,22,207.69925159715706,113.59010593019359,332.3933353197932,1.0,0.0,3.920000000000016,55243.583621041435,207.13528657284863,0.9545454545454546,959.0822988256801,479.54114941283996,Gaussian_Process,50,4
10,22,86.05475791436912,39.20144165670726,146.14927955622136,1.0,0.0,3.919999999999986,10680.724895934474,85.49056843629882,1.0,1661.9846534819144,830.992326740957,Gaussian_Process,100,0
10,22,128.89739774304132,64.30740184412335,230.79662198322848,1.0,0.0,3.919999999999985,26634.459297967827,128.3332222873955,0.9090909090909091,840.7887981338695,420.39439906693474,Gaussian_Process,100,1
10,20,152.8233533351325,103.44830991038307,195.45309543335182,1.0,0.0,3.919999999999983,19101.87519577267,152.2593853468464,1.0,923.1624851092735,461.5812425546367,Gaussian_Process,100,2
10,21,135.13790656874286,77.00849272121792,174.88471035145844,1.0,0.047619047619047616,3.9199999999999617,15293.249895889961,134.5807616012947,1.0,899.5124699430523,449.75623497152617,Gaussian_Process,100,3
10,22,204.29031849404566,102.57630242926425,313.49044923262727,1.0,0.045454545454545456,3.9200000000000133,49139.04981857045,203.72831737277428,0.9545454545454546,1043.6437146882317,521.8218573441161,Gaussian_Process,100,4
10,21,80.49659913692412,52.595401386310755,112.43112404925084,1.0,0.0,3.9200000000000212,6321.29776602222,79.93240955337637,1.0,1498.805950474091,749.4029752370456,Gaussian_Process,150,0
10,21,122.64101034737557,55.12437346576672,211.56049070514314,1.0,0.0,3.9200000000000026,22379.839552233687,122.07682076382783,0.9047619047619048,600.6359813829301,300.3179906914651,Gaussian_Process,150,1
10,19,128.5138177940206,100.10559016967238,163.28242784395985,1.0,0.0,3.9200000000000026,13331.494559842184,127.9496383175795,0.9473684210526315,610.2391664672781,305.11958323363905,Gaussian_Process,150,2
10,21,117.92239313968305,72.065205121377,164.00231898956943,1.0,0.0,3.9200000000000172,13449.299255511447,117.3582035561353,0.9523809523809523,690.3975245886575,345.19876229432873,Gaussian_Process,150,3
10,20,176.89481516251982,80.20722673629737,289.34750114331666,1.0,0.0,3.92000000000003,41861.90714747401,176.33133187715097,0.8,573.5929430515783,286.7964715257891,Gaussian_Process,150,4
10,22,145.54526505903763,110.56880340576174,192.83427605374615,58.57987979774607,0.5454545454545454,229.63312880716458,20.174698627186267,121.01808632907377,1.0,1204.990966796875,602.4954833984375,Heteroscedastic_MLP,50,0
10,22,171.31336167075418,90.72234344482419,259.40637888562713,52.30597249047225,0.45454545454545453,205.03941216265122,14.951790253582846,150.46664019115448,0.8181818181818182,850.7001098632812,425.3500549316406,Heteroscedastic_MLP,50,1
