n_early,fold,ensemble_size,MAE,PICP_gauss,MPIW_gauss,PICP_conformal,MPIW_conformal
150,0,2,73.7611341930571,0.38095238095238093,66.89595989165478,1.0,1564.3291625976562
150,0,3,69.31553819444446,0.47619047619047616,75.3039607950019,1.0,1575.0577799479167
150,0,5,68.17603817894344,0.47619047619047616,65.73816123933746,1.0,1581.9525390625
150,0,8,69.44091542561848,0.5238095238095238,72.42190351116626,1.0,1576.1905059814453
150,0,10,69.58260505312965,0.5238095238095238,75.66610908828345,1.0,1579.5065795898438
150,1,2,120.31418718610492,0.2857142857142857,43.94780336080479,0.9047619047619048,629.0164794921875
150,1,3,118.63375418526783,0.3333333333333333,44.858460424419135,0.9047619047619048,621.6435343424479
150,1,5,117.74201020740327,0.3333333333333333,48.21678467487237,0.9047619047619048,612.0973876953125
150,1,8,118.13172058832077,0.38095238095238093,55.88879860168085,0.9047619047619048,608.8450469970703
150,1,10,118.02720867338637,0.38095238095238093,62.36423774696469,0.9047619047619048,621.2650390625
150,2,2,109.16466883609169,0.15789473684210525,42.498595714654655,0.9473684210526315,607.8141174316406
150,2,3,111.51774677477385,0.21052631578947367,76.24345748092226,0.8947368421052632,603.2783813476562
150,2,5,110.822705078125,0.21052631578947367,64.81174551533593,0.8947368421052632,607.4383056640625
150,2,8,111.2858234204744,0.3684210526315789,87.08408944940628,0.8947368421052632,595.1616439819336
150,2,10,109.98659619783099,0.3684210526315789,83.97712263542941,0.8947368421052632,604.183642578125
150,3,2,92.38676307314918,0.38095238095238093,110.80180499870197,0.9523809523809523,690.6320190429688
150,3,3,91.10872032528832,0.2857142857142857,88.22477867171848,0.9523809523809523,670.4524943033854
150,3,5,87.6963158017113,0.38095238095238093,106.38251366103498,1.0,668.4421142578125
150,3,8,89.41976383754185,0.3333333333333333,102.8283402427792,1.0,665.0105590820312
150,3,10,89.27502143496561,0.38095238095238093,98.6314450510557,1.0,673.0921081542969
150,4,2,171.10942344665528,0.3,70.96154410649811,0.95,634.0304260253906
150,4,3,172.17241007486982,0.25,66.21158295878831,0.85,624.5169881184896
150,4,5,171.9199998474121,0.3,64.6551474087349,0.9,634.0621459960937
150,4,8,170.90480585098265,0.25,65.71285441979926,0.9,624.2897796630859
150,4,10,171.0444310760498,0.25,68.38729263656165,0.9,629.7178955078125
